Running as unit: kivou-173-import-diagnostic.service; invocation ID: 4f6848fbf4b54b53b3f76edc9515c2b3
import time: self [us] | cumulative | imported package
import time:       680 |       1755 |                 pydantic._internal._fields
import time:       463 |        463 |                     pydantic.plugin
import time:       268 |        731 |                   pydantic.plugin._schema_validator
import time:       316 |       1046 |                 pydantic._internal._mock_val_ser
import time:      1224 |       1224 |                     fractions
import time:       210 |        210 |                       zoneinfo._tzpath
import time:       131 |        131 |                       zoneinfo._common
import time:       259 |        259 |                       _zoneinfo
import time:       184 |        783 |                     zoneinfo
import time:       159 |        159 |                     pydantic.annotated_handlers
import time:      2653 |       2653 |                     pydantic.functional_validators
import time:       237 |        237 |                       pydantic._internal._core_metadata
import time:       148 |        148 |                       pydantic._internal._schema_generation_shared
import time:      2775 |       3160 |                     pydantic.json_schema
import time:       225 |        225 |                     pydantic._internal._discriminated_union
import time:       209 |        209 |                     pydantic._internal._known_annotated_metadata
import time:       607 |        607 |                     pydantic._internal._schema_gather
import time:      1377 |      10392 |                   pydantic._internal._generate_schema
import time:       153 |        153 |                   pydantic._internal._signature
import time:       430 |      10974 |                 pydantic._internal._model_construction
import time:      5097 |       5097 |                   annotated_types
import time:       314 |        314 |                   pydantic._internal._validators
import time:      6784 |       6784 |                   pydantic.types
import time:      1708 |      13901 |                 pydantic.fields
import time:       237 |        237 |                 pydantic.plugin._loader
import time:      5213 |      53479 |               fastapi.exceptions
import time:       230 |        230 |                 fastapi.openapi
import time:       291 |        291 |                     fastapi.types
import time:       384 |        384 |                       shlex
import time:       632 |        632 |                       starlette.concurrency
import time:       371 |        371 |                       starlette.types
import time:      5870 |       7255 |                     starlette.datastructures
import time:      1390 |       8936 |                   fastapi._compat.shared
import time:       218 |        218 |                     fastapi.openapi.constants
import time:      8006 |       8224 |                   fastapi._compat.v2
import time:       398 |      17556 |                 fastapi._compat
import time:       363 |        363 |                 fastapi.logger
import time:       441 |        441 |                   email_validator.exceptions
import time:       954 |        954 |                   email_validator.types
import time:        99 |         99 |                     unicodedata
import time:     13620 |      13620 |                       email_validator.rfc_constants
import time:      1929 |       1929 |                           idna.idnadata
import time:       511 |        511 |                           idna.intranges
import time:      3565 |       6004 |                         idna.core
import time:       173 |        173 |                         idna.package_data
import time:       500 |       6676 |                       idna
import time:      3225 |      23520 |                     email_validator.syntax
import time:      1016 |      24634 |                   email_validator.validate_email
import time:       160 |        160 |                   email_validator.version
import time:       544 |      26731 |                 email_validator
import time:       879 |        879 |                   email.feedparser
import time:       198 |       1077 |                 email.parser
import time:     72062 |     118016 |               fastapi.openapi.models
import time:      1496 |       1496 |               fastapi.datastructures
import time:      5112 |     178102 |             fastapi.params
import time:       239 |        239 |               fastapi.dependencies
import time:       201 |        201 |                     fastapi.security.base
import time:      1097 |       1097 |                       http.cookies
import time:      1137 |       1137 |                       starlette._utils
import time:        91 |         91 |                         python_multipart
import time:        48 |         48 |                         multipart
import time:      2795 |       2933 |                       starlette.formparsers
import time:        80 |         80 |                         python_multipart
import time:        27 |        106 |                       python_multipart.multipart
import time:        60 |         60 |                         multipart
import time:        18 |         77 |                       multipart.multipart
import time:      2387 |       7735 |                     starlette.requests
import time:       958 |       8893 |                   fastapi.security.api_key
import time:       212 |        212 |                     fastapi.security.utils
import time:      2222 |       2434 |                   fastapi.security.http
import time:      4519 |       4519 |                     fastapi.param_functions
import time:      1845 |       6364 |                   fastapi.security.oauth2
import time:       500 |        500 |                   fastapi.security.open_id_connect_url
import time:       325 |      18514 |                 fastapi.security
import time:        39 |      18552 |               fastapi.security.base
import time:      2749 |      21538 |             fastapi.dependencies.models
import time:       466 |        466 |                 starlette.background
import time:       426 |        892 |               fastapi.background
import time:       385 |        385 |               fastapi.concurrency
import time:       802 |        802 |               fastapi.utils
import time:        71 |         71 |                   _winapi
import time:        44 |         44 |                   winreg
import time:       343 |        457 |                 mimetypes
import time:       200 |        200 |                   hmac
import time:       120 |        320 |                 secrets
import time:      4610 |       5386 |               starlette.responses
import time:      1712 |       1712 |               starlette.websockets
import time:      5935 |      15109 |             fastapi.dependencies.utils
import time:       156 |        156 |                 colorsys
import time:      3451 |       3606 |               pydantic.color
import time:        70 |         70 |                 pydantic_extra_types
import time:        25 |         94 |               pydantic_extra_types.color
import time:      1737 |       5437 |             fastapi.encoders
import time:      4592 |       4592 |             fastapi.sse
import time:       887 |        887 |               starlette._exception_handler
import time:       995 |        995 |               starlette.convertors
import time:       690 |        690 |               starlette.middleware
import time:      1151 |       1151 |               starlette.middleware.body_limit
import time:     34078 |      37799 |             starlette.routing
import time:      1723 |       1723 |             starlette.staticfiles
import time:     29225 |     340401 |           fastapi.routing
import time:       164 |        164 |             fastapi.websockets
import time:       470 |        634 |           fastapi.exception_handlers
import time:       155 |        155 |             fastapi.middleware
import time:       377 |        532 |           fastapi.middleware.asyncexitstack
import time:       886 |        886 |           fastapi.openapi.docs
import time:      1112 |       1112 |             http.client
import time:       883 |        883 |             fastapi.responses
import time:      4629 |       6622 |           fastapi.openapi.utils
import time:       834 |        834 |                 html.entities
import time:       434 |       1267 |               html
import time:      1123 |       2389 |             starlette.middleware.errors
import time:       750 |        750 |             starlette.middleware.exceptions
import time:      1070 |       4208 |           starlette.applications
import time:      1912 |       1912 |           starlette.middleware.base
import time:      8862 |     364639 |         fastapi.applications
import time:       205 |        205 |         fastapi.requests
import time:       446 |     369521 |       fastapi
